15,BEGIN,1
15,1,1,1,0
15,2,1,1,0
15,3,0,1,0
15,4,0,1,0
15,5,1,1,0
15,6,1,1,0
15,7,1,1,0
15,8,1,1,0
15,9,1,1,0
15,10,1,1,0
15,11,1,1,0
15,12,1,1,0
15,13,1,1,0
15,14,1,1,0
15,15,1,1,0
15,16,1,1,0
15,17,1,1,0
15,18,1,1,0
15,19,1,1,0
15,20,1,1,0
15,21,1,1,0
15,22,1,1,0
15,23,1,1,0
15,24,1,1,0
15,25,1,1,0
15,26,1,1,0
15,27,1,1,0
15,28,1,1,0
15,29,1,1,0
15,30,1,1,0
15,31,1,1,0
15,32,1,1,0
15,33,1,1,0
15,34,1,1,0
15,35,1,1,0
15,36,1,1,0
15,37,1,1,0
15,38,1,1,0
15,39,1,1,0
15,40,1,1,0
15,41,1,1,0
15,END,1
